Name;Matches;Innings;Not_out;Runs;Highest_score;Average;Balls_faced;Strike_rate;Hundreds;Fifties;Fours;Sixes;Catches;Stumps
Virat Kohli;262;253;39;12344;183;57.68;13296;92.84;43;64;1159;125;138;0
Washington Sundar;4;2;0;57;33;28.5;75;76;0;0;3;1;2;0
Deepak Chahar;9;6;3;180;69*;60;177;101.69;0;2;17;5;1;0
Shreyas Iyer;30;27;1;1108;103;42.62;1148;96.52;1;11;106;21;16;0
Axar Patel;44;24;8;273;64*;17.06;257;106.23;0;1;13;14;17;0
Hanuma Vihari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Yuzvendra Chahal;67;13;5;69;18*;8.63;119;57.98;0;0;8;0;16;0
Mohammed Siraj;10;4;2;9;4;4.5;14;64.29;0;0;1;0;0;0
Shubman Gill;9;9;2;499;130;71.29;474;105.27;1;3;54;7;6;0
Navdeep Saini;8;5;3;107;45;53.5;137;78.1;0;0;9;3;3;0
Bhuvneshwar Kumar;121;55;16;552;53*;14.15;747;73.9;0;1;46;8;29;0
Kuldeep Yadav;69;23;13;125;19;12.5;198;63.13;0;0;10;0;9;0
Mayank Agarwal;5;5;0;86;32;17.2;83;103.61;0;0;12;1;2;0
Wriddhiman Saha;9;5;2;41;16;13.67;56;73.21;0;0;5;0;17;1
Hardik Pandya;66;48;7;1386;92*;33.8;1199;115.6;0;8;105;54;25;0
Shardul Thakur;24;14;6;224;50*;28;187;119.79;0;1;21;8;6;0
Umesh Yadav;75;24;14;79;18*;7.9;134;58.96;0;0;8;1;22;0
Ishant Sharma;80;28;13;72;13;4.8;203;35.47;0;0;6;0;19;0
Kl Rahul;45;43;6;1665;112;45;1895;87.86;5;10;125;39;24;2
Rishabh Pant;27;24;1;840;125*;36.52;772;108.81;1;5;86;26;24;1
Mohammad Shami;82;39;17;184;25;8.36;222;82.88;0;0;14;8;28;0
Shikhar Dhawan;158;155;10;6647;143;45.84;7219;92.08;17;38;823;77;80;0
Ajinkya Rahane;90;87;3;2962;111;35.26;3767;78.63;3;24;293;33;48;0
Cheteshwar Pujara;5;5;0;51;27;10.2;130;39.23;0;0;4;0;0;0
Ravindra Jadeja;171;115;40;2447;87;32.63;2828;86.53;0;13;179;50;63;0
Ravichandran Ashwin;113;63;20;707;65;16.44;813;86.96;0;1;60;7;30;0
Jasprit Bumrah;72;20;13;47;14*;6.71;93;50.54;0;0;5;1;17;0
Rohit Sharma;233;226;33;9376;264;48.58;10513;89.18;29;45;856;250;83;0
