Name;Matches;Innings;Balls;Runs;Wickets;Best_bowling_per_match;Average;Economy;Strike_rate;four_wicket_haul;five_wicket_haul
Virat Kohli;262;48;641;665;4;  1/15;166.25;6.22;160.25;0;0
Washington Sundar;4;4;168;140;5;3/30;28;5;33.6;0;0
Deepak Chahar;9;9;414;415;15;3/27;27.67;6.01;27.6;0;0
Shreyas Iyer;30;4;31;37;0;-;-;7.16;-;0;0
Axar Patel;44;41;2187;1604;53;3/24;30.26;4.4;41.26;0;0
Hanuma Vihari;-;-;-;-;-;-;-;-;-;-;-
Yuzvendra Chahal;67;66;3575;3115;118;6/42;26.4;5.23;30.3;5;2
Mohammed Siraj;10;10;504;404;13;3/29;31.08;4.81;38.77;0;0
Shubman Gill;9;0;0;0;0;-;-;-;-;0;0
Navdeep Saini;8;8;420;481;6;2/58;80.17;6.87;70;0;0
Bhuvneshwar Kumar;121;120;5847;4951;141;5/42;35.11;5.08;41.47;4;1
Kuldeep Yadav;69;67;3696;3207;112;6/25;28.63;5.21;33;4;1
Mayank Agarwal;5;1;6;10;0;-;-;10;-;0;0
Wriddhiman Saha;9;0;0;0;0;-;-;-;-;0;0
Hardik Pandya;66;61;2632;2438;63;4/24;38.7;5.56;41.78;1;0
Shardul Thakur;24;24;1125;1222;36;4/52;33.94;6.52;31.25;2;0
Umesh Yadav;75;73;3558;3565;106;4/31;33.63;6.01;33.57;4;0
Ishant Sharma;80;78;3733;3563;115;4/34;30.98;5.73;32.46;6;0
Kl Rahul;45;0;0;0;0;-;-;-;-;0;0
Rishabh Pant;27;0;0;0;0;-;-;-;-;0;0
Mohammad Shami;82;81;4188;3910;152;3/31;25.72;5.6;27.55;9;1
Shikhar Dhawan;158;0;0;0;0;-;-;-;-;0;0
Ajinkya Rahane;90;0;0;0;0;-;-;-;-;0;0
Cheteshwar Pujara;5;0;0;0;0;-;-;-;-;0;0
Ravindra Jadeja;171;166;8611;7062;189;5/36;37.37;4.92;45.56;7;1
Ravichandran Ashwin;113;111;6141;5058;151;4/25;33.5;4.94;40.67;1;0
Jasprit Bumrah;72;72;3807;2941;121;6/19;24.31;4.64;31.46;5;2
Rohit Sharma;233;38;593;515;8;  2/27;64.38;5.21;74.13;0;0
